type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	14492	14564	10409	11013	0.582	0.5694	0.5756	0
INS	9322	9252	8008	5495	0.5379	0.6274	0.5792	0
DEL	5162	5304	2391	5461	0.6834	0.4927	0.5726	0
INV	8	8	10	57	0.4444	0.1231	0.1928	0
Total	14160	14257	9726	11320	0.5928	0.5574	0.5746	2
INS	9014	8964	7356	5783	0.5506	0.6079	0.5778	2
DEL	5138	5285	2360	5480	0.6852	0.4909	0.572	2
INV	8	8	10	57	0.4444	0.1231	0.1928	2
Total	14104	14196	9615	11381	0.5946	0.555	0.5741	3
INS	8970	8915	7261	5832	0.5526	0.6045	0.5774	3
DEL	5126	5273	2344	5492	0.6862	0.4898	0.5716	3
INV	8	8	10	57	0.4444	0.1231	0.1928	3
Total	14043	14131	9517	11446	0.5961	0.5525	0.5735	4
INS	8915	8858	7180	5889	0.5539	0.6007	0.5764	4
DEL	5120	5265	2327	5500	0.6875	0.4891	0.5716	4
INV	8	8	10	57	0.4444	0.1231	0.1928	4
Total	13988	14079	9428	11498	0.5974	0.5505	0.573	5
INS	8873	8820	7109	5927	0.5552	0.5981	0.5759	5
DEL	5107	5251	2309	5514	0.6886	0.4878	0.5711	5
INV	8	8	10	57	0.4444	0.1231	0.1928	5
Total	13879	13967	9252	11610	0.6	0.5461	0.5718	7
INS	8795	8740	6961	6007	0.5582	0.5927	0.5749	7
DEL	5076	5219	2281	5546	0.69	0.4848	0.5695	7
INV	8	8	10	57	0.4444	0.1231	0.1928	7
Total	13742	13796	9022	11781	0.6037	0.5394	0.5697	10
INS	8688	8600	6791	6147	0.5613	0.5832	0.572	10
DEL	5046	5188	2221	5577	0.6944	0.4819	0.569	10
INV	8	8	10	57	0.4444	0.1231	0.1928	10
Total	13644	13699	8891	11878	0.6055	0.5356	0.5684	12
INS	8625	8534	6682	6213	0.5635	0.5787	0.571	12
DEL	5011	5157	2199	5608	0.695	0.4791	0.5672	12
INV	8	8	10	57	0.4444	0.1231	0.1928	12
Total	13551	13597	8743	11980	0.6078	0.5316	0.5672	14
INS	8558	8458	6576	6289	0.5655	0.5735	0.5695	14
DEL	4985	5131	2157	5634	0.698	0.4766	0.5664	14
INV	8	8	10	57	0.4444	0.1231	0.1928	14
Total	13246	13273	8330	12304	0.6139	0.5189	0.5624	21
INS	8340	8242	6271	6505	0.5708	0.5589	0.5648	21
DEL	4898	5023	2049	5742	0.7051	0.4666	0.5616	21
INV	8	8	10	57	0.4444	0.1231	0.1928	21
Total	12968	12998	7990	12579	0.6188	0.5082	0.5581	27
INS	8146	8045	6001	6702	0.5758	0.5455	0.5602	27
DEL	4814	4945	1979	5820	0.7087	0.4594	0.5574	27
INV	8	8	10	57	0.4444	0.1231	0.1928	27
Total	12561	12594	7528	12983	0.6253	0.4924	0.5509	35
INS	7855	7760	5673	6987	0.5806	0.5262	0.5521	35
DEL	4698	4826	1845	5939	0.718	0.4483	0.552	35
INV	8	8	10	57	0.4444	0.1231	0.1928	35
Total	12072	12111	7040	13466	0.6316	0.4735	0.5412	45
INS	7538	7455	5315	7292	0.5865	0.5055	0.543	45
DEL	4526	4648	1715	6117	0.7252	0.4318	0.5413	45
INV	8	8	10	57	0.4444	0.1231	0.1928	45
Total	11893	11939	6858	13638	0.6343	0.4668	0.5378	50
INS	7408	7334	5176	7413	0.5887	0.4973	0.5392	50
DEL	4478	4598	1672	6167	0.7281	0.4271	0.5384	50
INV	7	7	10	58	0.4118	0.1077	0.1707	50
Total	11513	11578	6526	13999	0.6382	0.4527	0.5297	60
INS	7151	7093	4932	7654	0.5918	0.481	0.5307	60
DEL	4355	4478	1584	6287	0.7333	0.416	0.5308	60
INV	7	7	10	58	0.4118	0.1077	0.1707	60
