type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	4105	4194	1404	1063	0.7451	0.7978	0.7705	0
INS	2755	2771	1178	773	0.7005	0.7819	0.739	0
DEL	1344	1417	221	264	0.8588	0.843	0.8508	0
INV	6	6	5	26	0.5455	0.1875	0.2791	0
Total	4101	4190	1401	1067	0.7454	0.797	0.7703	2
INS	2751	2767	1175	777	0.7007	0.7808	0.7386	2
DEL	1344	1417	221	264	0.8588	0.843	0.8508	2
INV	6	6	5	26	0.5455	0.1875	0.2791	2
Total	4101	4190	1399	1067	0.7456	0.797	0.7704	3
INS	2751	2767	1173	777	0.7011	0.7808	0.7388	3
DEL	1344	1417	221	264	0.8588	0.843	0.8508	3
INV	6	6	5	26	0.5455	0.1875	0.2791	3
Total	4101	4190	1398	1067	0.7458	0.797	0.7706	4
INS	2751	2767	1172	777	0.7012	0.7808	0.7389	4
DEL	1344	1417	221	264	0.8588	0.843	0.8508	4
INV	6	6	5	26	0.5455	0.1875	0.2791	4
Total	4101	4190	1397	1067	0.7459	0.797	0.7706	5
INS	2751	2767	1171	777	0.7014	0.7808	0.739	5
DEL	1344	1417	221	264	0.8588	0.843	0.8508	5
INV	6	6	5	26	0.5455	0.1875	0.2791	5
Total	4099	4188	1396	1069	0.746	0.7967	0.7705	7
INS	2749	2765	1170	779	0.7015	0.7802	0.7388	7
DEL	1344	1417	221	264	0.8588	0.843	0.8508	7
INV	6	6	5	26	0.5455	0.1875	0.2791	7
Total	4097	4186	1396	1071	0.7459	0.7963	0.7703	10
INS	2747	2763	1170	781	0.7013	0.7796	0.7384	10
DEL	1344	1417	221	264	0.8588	0.843	0.8508	10
INV	6	6	5	26	0.5455	0.1875	0.2791	10
Total	4096	4185	1395	1072	0.7459	0.7961	0.7702	12
INS	2746	2762	1169	782	0.7014	0.7793	0.7383	12
DEL	1344	1417	221	264	0.8588	0.843	0.8508	12
INV	6	6	5	26	0.5455	0.1875	0.2791	12
Total	4096	4185	1394	1072	0.7461	0.7961	0.7703	14
INS	2746	2762	1168	782	0.7016	0.7793	0.7384	14
DEL	1344	1417	221	264	0.8588	0.843	0.8508	14
INV	6	6	5	26	0.5455	0.1875	0.2791	14
Total	4088	4178	1393	1079	0.7458	0.7947	0.7695	21
INS	2740	2757	1167	787	0.7013	0.7779	0.7376	21
DEL	1342	1415	221	266	0.8586	0.8418	0.8501	21
INV	6	6	5	26	0.5455	0.1875	0.2791	21
Total	4079	4168	1389	1089	0.746	0.7928	0.7687	27
INS	2732	2748	1163	796	0.7014	0.7754	0.7365	27
DEL	1341	1414	221	267	0.8585	0.8412	0.8498	27
INV	6	6	5	26	0.5455	0.1875	0.2791	27
Total	4058	4149	1382	1108	0.746	0.7892	0.767	35
INS	2715	2733	1156	811	0.7014	0.7712	0.7346	35
DEL	1337	1410	221	271	0.8582	0.8388	0.8484	35
