type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2801	3027	541	3048	0.8381	0.4983	0.625	0
INS	1989	2048	213	2076	0.9033	0.4966	0.6409	0
DEL	812	979	328	972	0.7123	0.5018	0.5888	0
Total	2801	3027	541	3048	0.8381	0.4983	0.625	1.36677
INS	1989	2048	213	2076	0.9033	0.4966	0.6409	1.36677
DEL	812	979	328	972	0.7123	0.5018	0.5888	1.36677
Total	2256	2466	402	3609	0.8488	0.4059	0.5492	13.8722
INS	1457	1499	153	2625	0.905	0.3635	0.5187	13.8722
DEL	799	967	249	984	0.7624	0.4956	0.6007	13.8722
Total	2107	2310	348	3765	0.8582	0.3802	0.527	28.5387
INS	1321	1356	123	2768	0.9148	0.3288	0.4837	28.5387
DEL	786	954	225	997	0.7774	0.489	0.6004	28.5387
Total	2061	2261	323	3814	0.8645	0.3722	0.5204	99
INS	1285	1319	117	2805	0.9165	0.3198	0.4742	99
DEL	776	942	206	1009	0.7902	0.4828	0.5994	99
