type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	9102	9974	3175	16732	0.7414	0.3735	0.4967	0
INS	4609	4886	1203	10799	0.793	0.3115	0.4473	0
DEL	4493	5088	1956	5933	0.6967	0.4617	0.5554	0
INV	0	0	16	0	0	NA	NA	0
Total	9102	9974	3175	16732	0.7414	0.3735	0.4967	1.25286
INS	4609	4886	1203	10799	0.793	0.3115	0.4473	1.25286
DEL	4493	5088	1956	5933	0.6967	0.4617	0.5554	1.25286
INV	0	0	16	0	0	NA	NA	1.25286
Total	7426	8222	2289	18484	0.7644	0.3079	0.439	11.4146
INS	3516	3726	831	11959	0.8088	0.2376	0.3673	11.4146
DEL	3910	4496	1443	6525	0.7304	0.4079	0.5235	11.4146
INV	0	0	15	0	0	NA	NA	11.4146
Total	6589	7332	1810	19374	0.7845	0.2745	0.4067	19.914
INS	3072	3264	669	12421	0.8212	0.2081	0.3321	19.914
DEL	3517	4068	1129	6953	0.757	0.3691	0.4962	19.914
INV	0	0	12	0	0	NA	NA	19.914
Total	6105	6809	1541	19897	0.7985	0.255	0.3866	36.9903
INS	2847	3020	580	12665	0.8308	0.1925	0.3126	36.9903
DEL	3258	3789	950	7232	0.7742	0.3438	0.4762	36.9903
INV	0	0	11	0	0	NA	NA	36.9903
Total	6051	6755	1510	19951	0.8003	0.2529	0.3843	99
INS	2822	2995	570	12690	0.832	0.1909	0.3105	99
DEL	3229	3760	929	7261	0.7766	0.3412	0.4741	99
INV	0	0	11	0	0	NA	NA	99
