type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5197	5244	854	831	0.8589	0.8632	0.861	0
INS	3708	3626	459	498	0.8898	0.8792	0.8845	0
DEL	1489	1618	395	333	0.7903	0.8293	0.8093	0
Total	5197	5244	854	831	0.8589	0.8632	0.861	10
INS	3708	3626	459	498	0.8898	0.8792	0.8845	10
DEL	1489	1618	395	333	0.7903	0.8293	0.8093	10
Total	5093	5155	818	920	0.8616	0.8486	0.8551	44.59009
INS	3611	3545	427	579	0.8943	0.8596	0.8766	44.59009
DEL	1482	1610	391	341	0.7912	0.8252	0.8078	44.59009
Total	4918	5013	759	1062	0.8663	0.8252	0.8453	75
INS	3452	3421	373	703	0.9025	0.8295	0.8645	75
DEL	1466	1592	386	359	0.7916	0.816	0.8036	75
Total	4632	4751	695	1324	0.8695	0.7821	0.8235	111.6169
INS	3203	3194	321	930	0.9089	0.7745	0.8363	111.6169
DEL	1429	1557	374	394	0.7926	0.7981	0.7953	111.6169
Total	4155	4292	618	1783	0.8705	0.7065	0.78	154.3358
INS	2792	2802	253	1322	0.9169	0.6794	0.7805	154.3358
DEL	1363	1490	365	461	0.7888	0.7637	0.776	154.3358
Total	3592	3742	536	2333	0.8702	0.616	0.7214	202
INS	2346	2367	198	1757	0.9222	0.574	0.7076	202
DEL	1246	1375	338	576	0.7866	0.7048	0.7435	202
Total	2920	3081	467	2994	0.8621	0.5072	0.6387	260.424
INS	1837	1868	145	2256	0.9268	0.453	0.6086	260.424
DEL	1083	1213	322	738	0.7708	0.6217	0.6883	260.424
Total	2261	2415	369	3660	0.8597	0.3975	0.5436	341.3654
INS	1370	1395	93	2729	0.9364	0.3383	0.497	341.3654
DEL	891	1020	276	931	0.7635	0.5228	0.6206	341.3654
Total	1558	1692	263	4383	0.8556	0.2785	0.4202	455.1656
INS	941	957	60	3167	0.9401	0.2321	0.3723	455.1656
DEL	617	735	203	1216	0.7524	0.3767	0.502	455.1656
Total	830	924	102	5151	0.8906	0.1521	0.2598	649
INS	489	497	27	3627	0.9477	0.1205	0.2138	649
DEL	341	427	75	1524	0.8197	0.2189	0.3455	649
Total	0	0	0	6075	NA	0	NA	33842.6
INS	0	0	0	4124	NA	0	NA	33842.6
DEL	0	0	0	1951	NA	0	NA	33842.6
