type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	18435	18498	6577	8208	0.737	0.6927	0.7142	0
INS	10983	10598	3542	5087	0.7561	0.6757	0.7136	0
DEL	7452	7900	3034	3121	0.7107	0.7168	0.7137	0
INV	0	0	1	0	0	NA	NA	0
Total	18435	18498	6577	8208	0.737	0.6927	0.7142	10
INS	10983	10598	3542	5087	0.7561	0.6757	0.7136	10
DEL	7452	7900	3034	3121	0.7107	0.7168	0.7137	10
INV	0	0	1	0	0	NA	NA	10
Total	16852	17007	5658	9699	0.7486	0.6368	0.6882	44.59009
INS	9894	9681	3003	6004	0.7672	0.6172	0.6841	44.59009
DEL	6958	7326	2654	3695	0.7239	0.6647	0.693	44.59009
INV	0	0	1	0	0	NA	NA	44.59009
Total	15248	15478	4778	11228	0.7614	0.5796	0.6582	75
INS	8796	8698	2434	6987	0.7833	0.5545	0.6493	75
DEL	6452	6780	2343	4241	0.7336	0.6152	0.6692	75
INV	0	0	1	0	0	NA	NA	75
Total	13510	13806	3998	12900	0.7716	0.517	0.6191	111.6169
INS	7663	7658	1961	8027	0.7962	0.4882	0.6053	111.6169
DEL	5847	6148	2036	4873	0.7417	0.5578	0.6367	111.6169
INV	0	0	1	0	0	NA	NA	111.6169
Total	11670	12027	3337	14679	0.7776	0.4503	0.5703	154.3358
INS	6444	6521	1568	9164	0.8043	0.4157	0.5481	154.3358
DEL	5226	5506	1768	5515	0.7472	0.4996	0.5988	154.3358
INV	0	0	1	0	0	NA	NA	154.3358
Total	9794	10158	2716	16548	0.7829	0.3804	0.512	202
INS	5316	5414	1206	10271	0.8151	0.3452	0.485	202
DEL	4478	4744	1509	6277	0.748	0.4305	0.5465	202
INV	0	0	1	0	0	NA	NA	202
Total	7885	8279	2121	18427	0.788	0.31	0.445	260.424
INS	4169	4311	859	11374	0.8292	0.2748	0.4128	260.424
DEL	3716	3968	1261	7053	0.7466	0.36	0.4858	260.424
INV	0	0	1	0	0	NA	NA	260.424
Total	5912	6300	1592	20406	0.7878	0.2359	0.3631	341.3654
INS	3062	3201	622	12484	0.8312	0.2041	0.3277	341.3654
DEL	2850	3099	969	7922	0.7463	0.2812	0.4085	341.3654
INV	0	0	1	0	0	NA	NA	341.3654
Total	3984	4284	1019	22422	0.7963	0.1604	0.267	455.1656
INS	2032	2123	398	13562	0.8362	0.1354	0.2331	455.1656
DEL	1952	2161	621	8860	0.7586	0.1961	0.3116	455.1656
Total	2039	2209	464	24497	0.8146	0.0827	0.1502	649
INS	1011	1045	197	14640	0.8369	0.0666	0.1234	649
DEL	1028	1164	267	9857	0.7938	0.1056	0.1864	649
Total	0	0	1	26706	0	0	NA	33842.6
INS	0	0	1	15685	0	0	NA	33842.6
DEL	0	0	0	11021	NA	0	NA	33842.6
