type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2334	2240	192	3835	0.924	0.3687	0.5271	0
INS	974	940	149	3184	0.8673	0.2279	0.361	0
DEL	1360	1300	43	651	0.9694	0.6663	0.7898	0
Total	2277	2185	180	3890	0.9267	0.3597	0.5182	6
INS	937	902	137	3222	0.8724	0.2187	0.3497	6
DEL	1340	1283	43	668	0.9689	0.6576	0.7835	6
Total	2184	2100	168	3975	0.9286	0.3457	0.5038	12
INS	872	844	126	3280	0.8737	0.2047	0.3317	12
DEL	1312	1256	42	695	0.969	0.6438	0.7736	12
Total	2087	2005	153	4070	0.9317	0.33	0.4874	18
INS	809	780	111	3344	0.8793	0.1891	0.3113	18
DEL	1278	1225	42	726	0.9682	0.6279	0.7618	18
Total	1914	1842	142	4233	0.9309	0.3032	0.4574	26
INS	707	683	101	3441	0.875	0.1656	0.2785	26
DEL	1207	1159	41	792	0.9671	0.5941	0.736	26
Total	1733	1665	132	4410	0.9292	0.2741	0.4233	36
INS	625	609	94	3515	0.8693	0.1477	0.2525	36
DEL	1108	1056	38	895	0.9668	0.5413	0.694	36
Total	1431	1370	113	4705	0.9268	0.2255	0.3627	48
INS	528	515	78	3609	0.8713	0.1249	0.2185	48
DEL	903	855	35	1096	0.9627	0.4382	0.6023	48
Total	1104	1048	94	5027	0.9215	0.1725	0.2906	62
INS	452	448	62	3676	0.8794	0.1086	0.1933	62
DEL	652	600	32	1351	0.9532	0.3075	0.465	62
Total	805	744	63	5331	0.9274	0.1225	0.2164	87
INS	340	340	35	3784	0.9067	0.0824	0.1511	87
DEL	465	404	28	1547	0.9432	0.2071	0.3396	87
Total	472	423	31	5652	0.9384	0.0696	0.1296	138
INS	156	155	17	3969	0.9017	0.0376	0.0722	138
DEL	316	268	14	1683	0.9576	0.1374	0.2403	138
Total	379	342	27	5733	0.9335	0.0563	0.1062	10000
INS	114	114	15	4010	0.8837	0.0276	0.0535	10000
DEL	265	228	12	1723	0.9567	0.1169	0.2083	10000
