type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1961	1662	70	4521	0.9655	0.2688	0.4205	0
INS	0	0	0	4047	NA	0	NA	0
DEL	1961	1662	70	474	0.9655	0.7781	0.8617	0
Total	1961	1662	70	4521	0.9655	0.2688	0.4205	4.6
INS	0	0	0	4047	NA	0	NA	4.6
DEL	1961	1662	70	474	0.9655	0.7781	0.8617	4.6
Total	1792	1550	60	4633	0.9676	0.2507	0.3982	38.95
INS	0	0	0	4047	NA	0	NA	38.95
DEL	1792	1550	60	586	0.9676	0.7257	0.8294	38.95
Total	1595	1409	53	4774	0.9678	0.2279	0.3689	86.92
INS	0	0	0	4047	NA	0	NA	86.92
DEL	1595	1409	53	727	0.9678	0.6596	0.7845	86.92
Total	1416	1276	40	4907	0.9725	0.2064	0.3405	140.77
INS	0	0	0	4047	NA	0	NA	140.77
DEL	1416	1276	40	860	0.9725	0.5974	0.7401	140.77
Total	1211	1116	36	5067	0.9711	0.1805	0.3044	194.75
INS	0	0	0	4047	NA	0	NA	194.75
DEL	1211	1116	36	1020	0.9711	0.5225	0.6794	194.75
Total	1016	965	28	5218	0.9732	0.1561	0.269	260.69
INS	0	0	0	4047	NA	0	NA	260.69
DEL	1016	965	28	1171	0.9732	0.4518	0.6171	260.69
Total	792	772	19	5411	0.9766	0.1249	0.2215	335.682
INS	0	0	0	4047	NA	0	NA	335.682
DEL	792	772	19	1364	0.9766	0.3614	0.5276	335.682
Total	597	589	15	5594	0.9755	0.0953	0.1736	443.14
INS	0	0	0	4047	NA	0	NA	443.14
DEL	597	589	15	1547	0.9755	0.2757	0.4299	443.14
Total	422	411	11	5772	0.9746	0.0665	0.1245	575.67
INS	0	0	0	4047	NA	0	NA	575.67
DEL	422	411	11	1725	0.9746	0.1924	0.3214	575.67
Total	243	223	3	5960	0.9878	0.0361	0.0697	856.73
INS	0	0	0	4047	NA	0	NA	856.73
DEL	243	223	3	1913	0.9878	0.1044	0.1888	856.73
Total	1	2	0	6181	1	3e-04	6e-04	2747.45
INS	0	0	0	4047	NA	0	NA	2747.45
DEL	1	2	0	2134	1	9e-04	0.0018	2747.45
