type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5279	4487	348	23983	0.9382	0.1576	0.2699	0
INS	0	0	0	16419	NA	0	NA	0
DEL	5279	4487	348	7564	0.9382	0.3723	0.5331	0
Total	5279	4487	348	23983	0.9382	0.1576	0.2699	4.6
INS	0	0	0	16419	NA	0	NA	4.6
DEL	5279	4487	348	7564	0.9382	0.3723	0.5331	4.6
Total	4828	4117	256	24353	0.9496	0.1446	0.251	38.95
INS	0	0	0	16419	NA	0	NA	38.95
DEL	4828	4117	256	7934	0.9496	0.3416	0.5025	38.95
Total	4311	3697	198	24773	0.9561	0.1299	0.2287	86.92
INS	0	0	0	16419	NA	0	NA	86.92
DEL	4311	3697	198	8354	0.9561	0.3068	0.4645	86.92
Total	3787	3297	155	25173	0.9607	0.1158	0.2067	140.77
INS	0	0	0	16419	NA	0	NA	140.77
DEL	3787	3297	155	8754	0.9607	0.2736	0.4259	140.77
Total	3256	2866	126	25604	0.9627	0.1007	0.1823	194.75
INS	0	0	0	16419	NA	0	NA	194.75
DEL	3256	2866	126	9185	0.9627	0.2378	0.3814	194.75
Total	2721	2461	94	26009	0.9666	0.0864	0.1586	260.69
INS	0	0	0	16419	NA	0	NA	260.69
DEL	2721	2461	94	9590	0.9666	0.2042	0.3372	260.69
Total	2179	2012	72	26458	0.968	0.0707	0.1318	335.682
INS	0	0	0	16419	NA	0	NA	335.682
DEL	2179	2012	72	10039	0.968	0.167	0.2849	335.682
Total	1649	1559	47	26911	0.9723	0.0548	0.1038	443.14
INS	0	0	0	16419	NA	0	NA	443.14
DEL	1649	1559	47	10492	0.9723	0.1294	0.2284	443.14
Total	1101	1063	27	27407	0.9761	0.0373	0.0719	575.67
INS	0	0	0	16419	NA	0	NA	575.67
DEL	1101	1063	27	10988	0.9761	0.0882	0.1618	575.67
Total	555	510	12	27960	0.9788	0.0179	0.0352	856.73
INS	0	0	0	16419	NA	0	NA	856.73
DEL	555	510	12	11541	0.9788	0.0423	0.0811	856.73
Total	1	2	0	28468	1	1e-04	2e-04	2747.45
INS	0	0	0	16419	NA	0	NA	2747.45
DEL	1	2	0	12049	1	2e-04	4e-04	2747.45
