type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5732	5827	52	248	0.991	0.9592	0.9748	0
INS	3925	3962	49	162	0.9877	0.9607	0.974	0
DEL	1807	1865	3	86	0.9983	0.9559	0.9766	0
Total	5732	5827	52	248	0.991	0.9592	0.9748	1.27028
INS	3925	3962	49	162	0.9877	0.9607	0.974	1.27028
DEL	1807	1865	3	86	0.9983	0.9559	0.9766	1.27028
Total	5663	5759	45	316	0.9921	0.948	0.9695	3.56942
INS	3862	3900	42	224	0.9892	0.9457	0.967	3.56942
DEL	1801	1859	3	92	0.9983	0.9528	0.975	3.56942
Total	5621	5718	38	357	0.9933	0.9412	0.9665	4.27593
INS	3827	3866	35	258	0.9909	0.9374	0.9634	4.27593
DEL	1794	1852	3	99	0.9983	0.9493	0.9732	4.27593
Total	5569	5673	30	402	0.9946	0.9338	0.9632	5.16841
INS	3788	3828	28	296	0.9927	0.9282	0.9594	5.16841
DEL	1781	1845	2	106	0.9989	0.9457	0.9716	5.16841
Total	5501	5614	26	461	0.9953	0.9241	0.9584	6.34138
INS	3738	3777	24	347	0.9936	0.9159	0.9532	6.34138
DEL	1763	1837	2	114	0.9989	0.9416	0.9694	6.34138
Total	5426	5550	18	525	0.9967	0.9136	0.9533	7.96695
INS	3677	3720	17	404	0.9954	0.902	0.9464	7.96695
DEL	1749	1830	1	121	0.9994	0.938	0.9677	7.96695
Total	5306	5443	17	632	0.9968	0.896	0.9437	10.3245
INS	3591	3634	16	490	0.9956	0.8812	0.9349	10.3245
DEL	1715	1809	1	142	0.9994	0.9272	0.9619	10.3245
Total	5055	5219	14	856	0.9972	0.8591	0.923	14.2022
INS	3399	3450	13	674	0.9962	0.8366	0.9095	14.2022
DEL	1656	1769	1	182	0.9994	0.9067	0.9508	14.2022
Total	4671	4867	12	1208	0.9974	0.8012	0.8886	26.1979
INS	3116	3164	11	960	0.9965	0.7672	0.8669	26.1979
DEL	1555	1703	1	248	0.9994	0.8729	0.9319	26.1979
Total	4418	4629	11	1446	0.9975	0.762	0.864	99
INS	2938	2990	11	1134	0.9963	0.725	0.8393	99
DEL	1480	1639	0	312	1	0.8401	0.9131	99
