type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	23268	23847	923	2859	0.9618	0.8929	0.9261	0
INS	14045	14310	457	1375	0.9685	0.9123	0.9396	0
DEL	9223	9537	400	1484	0.9584	0.8653	0.9095	0
INV	0	0	66	0	0	NA	NA	0
Total	23268	23847	923	2859	0.9618	0.8929	0.9261	1.27028
INS	14045	14310	457	1375	0.9685	0.9123	0.9396	1.27028
DEL	9223	9537	400	1484	0.9584	0.8653	0.9095	1.27028
INV	0	0	66	0	0	NA	NA	1.27028
Total	22907	23538	845	3168	0.9644	0.8814	0.921	3.56942
INS	13853	14137	432	1548	0.9698	0.9013	0.9343	3.56942
DEL	9054	9401	354	1620	0.9624	0.853	0.9044	3.56942
INV	0	0	59	0	0	NA	NA	3.56942
Total	22615	23274	752	3432	0.9678	0.8715	0.9171	4.27593
INS	13696	13992	396	1693	0.9719	0.8921	0.9303	4.27593
DEL	8919	9282	298	1739	0.9677	0.8422	0.9006	4.27593
INV	0	0	58	0	0	NA	NA	4.27593
Total	22254	22956	676	3750	0.9705	0.8596	0.9117	5.16841
INS	13521	13832	359	1853	0.9741	0.8819	0.9257	5.16841
DEL	8733	9124	260	1897	0.9711	0.8279	0.8938	5.16841
INV	0	0	57	0	0	NA	NA	5.16841
Total	21821	22551	591	4155	0.9736	0.8444	0.9044	6.34138
INS	13300	13613	320	2072	0.9765	0.8679	0.919	6.34138
DEL	8521	8938	214	2083	0.9755	0.811	0.8857	6.34138
INV	0	0	57	0	0	NA	NA	6.34138
Total	21298	22079	520	4627	0.9762	0.8267	0.8953	7.96695
INS	13036	13376	297	2309	0.9777	0.8528	0.911	7.96695
DEL	8262	8703	170	2318	0.9798	0.7897	0.8745	7.96695
INV	0	0	53	0	0	NA	NA	7.96695
Total	20532	21370	428	5336	0.9796	0.8002	0.8809	10.3245
INS	12660	13019	268	2666	0.9793	0.83	0.8985	10.3245
DEL	7872	8351	115	2670	0.9856	0.7577	0.8568	10.3245
INV	0	0	45	0	0	NA	NA	10.3245
Total	19192	20109	348	6597	0.9822	0.753	0.8525	14.2022
INS	11985	12370	223	3315	0.9817	0.7887	0.8747	14.2022
DEL	7207	7739	85	3282	0.9883	0.7022	0.821	14.2022
INV	0	0	40	0	0	NA	NA	14.2022
Total	17120	18101	241	8605	0.9861	0.6778	0.8034	26.1979
INS	10954	11367	178	4318	0.984	0.7247	0.8347	26.1979
DEL	6166	6734	33	4287	0.9947	0.611	0.757	26.1979
INV	0	0	30	0	0	NA	NA	26.1979
Total	16167	17178	223	9528	0.9864	0.6432	0.7787	99
INS	10484	10918	172	4767	0.9839	0.6961	0.8153	99
DEL	5683	6260	24	4761	0.9958	0.568	0.7234	99
INV	0	0	27	0	0	NA	NA	99
