type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5901	5822	452	253	0.9289	0.9584	0.9434	0
INS	4026	3952	98	172	0.9762	0.9583	0.9672	0
DEL	1875	1870	354	81	0.8412	0.9585	0.896	0
Total	5901	5822	452	253	0.9289	0.9584	0.9434	10
INS	4026	3952	98	172	0.9762	0.9583	0.9672	10
DEL	1875	1870	354	81	0.8412	0.9585	0.896	10
Total	5739	5691	403	384	0.9344	0.9368	0.9356	100
INS	3880	3841	50	283	0.9873	0.9314	0.9585	100
DEL	1859	1850	353	101	0.8404	0.9482	0.8911	100
Total	5425	5421	379	654	0.9347	0.8923	0.913	156
INS	3618	3626	26	498	0.9929	0.8792	0.9326	156
DEL	1807	1795	353	156	0.8366	0.92	0.8763	156
Total	4937	4960	364	1115	0.9313	0.8165	0.8701	203.8221
INS	3251	3286	14	838	0.9957	0.7968	0.8852	203.8221
DEL	1686	1674	350	277	0.8281	0.858	0.8428	203.8221
Total	4356	4389	352	1686	0.9252	0.7225	0.8114	246
INS	2833	2880	8	1244	0.9972	0.6984	0.8215	246
DEL	1523	1509	344	442	0.8157	0.7734	0.794	246
Total	3724	3757	345	2318	0.9152	0.6184	0.7381	288.4605
INS	2404	2454	5	1670	0.9979	0.5951	0.7456	288.4605
DEL	1320	1303	340	648	0.7952	0.6679	0.726	288.4605
Total	2997	3024	332	3051	0.9003	0.4978	0.6411	337.7748
INS	1919	1960	4	2164	0.9979	0.4753	0.6439	337.7748
DEL	1078	1064	328	887	0.7667	0.5454	0.6374	337.7748
Total	2256	2271	308	3804	0.8799	0.3738	0.5247	398.6833
INS	1485	1513	3	2611	0.998	0.3669	0.5365	398.6833
DEL	771	758	305	1193	0.7165	0.3885	0.5038	398.6833
Total	1605	1617	248	4458	0.8662	0.2662	0.4072	492.679
INS	1160	1178	1	2946	0.9991	0.2856	0.4442	492.679
DEL	445	439	247	1512	0.6431	0.225	0.3334	492.679
Total	959	964	133	5111	0.8782	0.1587	0.2688	662.9075
INS	737	742	0	3382	1	0.1799	0.3049	662.9075
DEL	222	222	133	1729	0.6254	0.1138	0.1926	662.9075
Total	1	1	0	6074	1	2e-04	4e-04	1969
INS	0	0	0	4124	NA	0	NA	1969
DEL	1	1	0	1950	1	5e-04	0.001	1969
