type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	24448	24086	3122	2620	0.8868	0.9019	0.8943	0
INS	14594	14262	775	1423	0.9496	0.9093	0.929	0
DEL	9854	9824	2344	1197	0.8078	0.8914	0.8475	0
INV	0	0	3	0	0	NA	NA	0
Total	24448	24086	3122	2620	0.8868	0.9019	0.8943	10
INS	14594	14262	775	1423	0.9496	0.9093	0.929	10
DEL	9854	9824	2344	1197	0.8078	0.8914	0.8475	10
INV	0	0	3	0	0	NA	NA	10
Total	22313	22159	2508	4547	0.899	0.8297	0.863	100
INS	13129	13053	369	2632	0.9727	0.8322	0.897	100
DEL	9184	9106	2136	1915	0.8113	0.8262	0.8187	100
INV	0	0	3	0	0	NA	NA	100
Total	19866	19883	2209	6823	0.8999	0.7445	0.8149	156
INS	11423	11570	199	4115	0.9829	0.7376	0.8428	156
DEL	8443	8313	2007	2708	0.8079	0.7543	0.7802	156
INV	0	0	3	0	0	NA	NA	156
Total	17278	17410	2021	9296	0.8953	0.6519	0.7545	203.8221
INS	9687	9958	124	5727	0.9874	0.6349	0.7729	203.8221
DEL	7591	7452	1894	3569	0.8003	0.6762	0.733	203.8221
INV	0	0	3	0	0	NA	NA	203.8221
Total	14661	14865	1899	11841	0.8853	0.5566	0.6835	246
INS	7957	8301	88	7384	0.9891	0.5292	0.6895	246
DEL	6704	6564	1808	4457	0.7876	0.5956	0.6783	246
INV	0	0	3	0	0	NA	NA	246
Total	11984	12127	1801	14579	0.8694	0.4541	0.5966	288.4605
INS	6261	6571	63	9114	0.99	0.4189	0.5887	288.4605
DEL	5723	5556	1735	5465	0.7674	0.5041	0.6085	288.4605
INV	0	0	3	0	0	NA	NA	288.4605
Total	9359	9460	1669	17246	0.8487	0.3542	0.4998	337.7748
INS	4707	4965	41	10720	0.9914	0.3165	0.4798	337.7748
DEL	4652	4495	1625	6526	0.7411	0.4079	0.5262	337.7748
INV	0	0	3	0	0	NA	NA	337.7748
Total	6766	6781	1505	19925	0.818	0.2539	0.3875	398.6833
INS	3355	3515	25	12170	0.9926	0.2241	0.3656	398.6833
DEL	3411	3266	1477	7755	0.6978	0.2963	0.416	398.6833
INV	0	0	3	0	0	NA	NA	398.6833
Total	4355	4361	1159	22345	0.7898	0.1633	0.2706	492.679
INS	2331	2413	10	13272	0.9957	0.1538	0.2664	492.679
DEL	2024	1948	1148	9073	0.6381	0.1768	0.2769	492.679
INV	0	0	1	0	0	NA	NA	492.679
Total	2204	2202	553	24504	0.7994	0.0825	0.1496	662.9075
INS	1338	1365	6	14320	0.9955	0.087	0.16	662.9075
DEL	866	837	546	10184	0.6133	0.0759	0.1351	662.9075
INV	0	0	1	0	0	NA	NA	662.9075
Total	1	1	0	26705	1	0	0	1969
INS	0	0	0	15685	NA	0	NA	1969
DEL	1	1	0	11020	1	1e-04	2e-04	1969
