type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5243	4934	60	23536	0.9887	0.1733	0.2949	0
INS	0	0	0	16419	NA	0	NA	0
DEL	5243	4934	60	7117	0.9887	0.4094	0.579	0
Total	5243	4934	60	23536	0.9887	0.1733	0.2949	4.56
INS	0	0	0	16419	NA	0	NA	4.56
DEL	5243	4934	60	7117	0.9887	0.4094	0.579	4.56
Total	4738	4503	36	23967	0.9925	0.1582	0.2729	44.77
INS	0	0	0	16419	NA	0	NA	44.77
DEL	4738	4503	36	7548	0.9925	0.3737	0.543	44.77
Total	4234	4063	23	24407	0.9946	0.1427	0.2496	89.31
INS	0	0	0	16419	NA	0	NA	89.31
DEL	4234	4063	23	7988	0.9946	0.3372	0.5036	89.31
Total	3696	3570	16	24900	0.9957	0.1254	0.2227	134.796
INS	0	0	0	16419	NA	0	NA	134.796
DEL	3696	3570	16	8481	0.9957	0.2962	0.4566	134.796
Total	3312	3168	14	25302	0.9958	0.1113	0.2002	177.38
INS	0	0	0	16419	NA	0	NA	177.38
DEL	3312	3168	14	8883	0.9958	0.2629	0.416	177.38
Total	2644	2448	11	26022	0.9959	0.086	0.1583	239.77
INS	0	0	0	16419	NA	0	NA	239.77
DEL	2644	2448	11	9603	0.9959	0.2031	0.3374	239.77
Total	2154	1994	8	26476	0.9963	0.07	0.1308	324.97
INS	0	0	0	16419	NA	0	NA	324.97
DEL	2154	1994	8	10057	0.9963	0.1655	0.2838	324.97
Total	1592	1503	1	26967	0.9994	0.0528	0.1003	431.64
INS	0	0	0	16419	NA	0	NA	431.64
DEL	1592	1503	1	10548	0.9994	0.1247	0.2217	431.64
Total	1061	999	0	27471	1	0.0351	0.0678	577.398000000001
INS	0	0	0	16419	NA	0	NA	577.398000000001
DEL	1061	999	0	11052	1	0.0829	0.1531	577.398000000001
Total	531	503	0	27967	1	0.0177	0.0348	925.28
INS	0	0	0	16419	NA	0	NA	925.28
DEL	531	503	0	11548	1	0.0417	0.0801	925.28
Total	2	2	0	28468	1	1e-04	2e-04	2245.22
INS	0	0	0	16419	NA	0	NA	2245.22
DEL	2	2	0	12049	1	2e-04	4e-04	2245.22
