type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
Total	353	353	1	1005	0.9972	0.2599	0.4123	0	toilvg	calls	s0	1
INS	215	215	0	462	1	0.3176	0.4821	0	toilvg	calls	s0	1
DEL	138	138	1	543	0.9928	0.2026	0.3365	0	toilvg	calls	s0	1
Total	353	353	1	1005	0.9972	0.2599	0.4123	17	toilvg	calls	s0	1
INS	215	215	0	462	1	0.3176	0.4821	17	toilvg	calls	s0	1
DEL	138	138	1	543	0.9928	0.2026	0.3365	17	toilvg	calls	s0	1
Total	324	324	1	1034	0.9969	0.2386	0.385	33	toilvg	calls	s0	1
INS	209	209	0	468	1	0.3087	0.4718	33	toilvg	calls	s0	1
DEL	115	115	1	566	0.9914	0.1689	0.2886	33	toilvg	calls	s0	1
Total	303	303	0	1055	1	0.2231	0.3648	34	toilvg	calls	s0	1
INS	197	197	0	480	1	0.291	0.4508	34	toilvg	calls	s0	1
DEL	106	106	0	575	1	0.1557	0.2694	34	toilvg	calls	s0	1
Total	248	248	0	1110	1	0.1826	0.3088	35.59431	toilvg	calls	s0	1
INS	180	180	0	497	1	0.2659	0.4201	35.59431	toilvg	calls	s0	1
DEL	68	68	0	613	1	0.0999	0.1817	35.59431	toilvg	calls	s0	1
Total	212	212	0	1146	1	0.1561	0.27	38.46066	toilvg	calls	s0	1
INS	159	159	0	518	1	0.2349	0.3804	38.46066	toilvg	calls	s0	1
DEL	53	53	0	628	1	0.0778	0.1444	38.46066	toilvg	calls	s0	1
Total	177	177	0	1181	1	0.1303	0.2306	41.0664	toilvg	calls	s0	1
INS	143	143	0	534	1	0.2112	0.3487	41.0664	toilvg	calls	s0	1
DEL	34	34	0	647	1	0.0499	0.0951	41.0664	toilvg	calls	s0	1
Total	142	142	0	1216	1	0.1046	0.1894	47.2472	toilvg	calls	s0	1
INS	109	109	0	568	1	0.161	0.2773	47.2472	toilvg	calls	s0	1
DEL	33	33	0	648	1	0.0485	0.0925	47.2472	toilvg	calls	s0	1
Total	106	106	0	1252	1	0.0781	0.1449	55.77181	toilvg	calls	s0	1
INS	75	75	0	602	1	0.1108	0.1995	55.77181	toilvg	calls	s0	1
DEL	31	31	0	650	1	0.0455	0.087	55.77181	toilvg	calls	s0	1
Total	71	71	0	1287	1	0.0523	0.0994	66.07924	toilvg	calls	s0	1
INS	47	47	0	630	1	0.0694	0.1298	66.07924	toilvg	calls	s0	1
DEL	24	24	0	657	1	0.0352	0.068	66.07924	toilvg	calls	s0	1
Total	36	36	0	1322	1	0.0265	0.0516	76.28063	toilvg	calls	s0	1
INS	26	26	0	651	1	0.0384	0.074	76.28063	toilvg	calls	s0	1
DEL	10	10	0	671	1	0.0147	0.029	76.28063	toilvg	calls	s0	1
Total	1	1	0	1357	1	7e-04	0.0014	177	toilvg	calls	s0	1
INS	0	0	0	677	NA	0	NA	177	toilvg	calls	s0	1
DEL	1	1	0	680	1	0.0015	0.003	177	toilvg	calls	s0	1
Total	75	75	0	1283	1	0.0552	0.1046	0	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	0	svtyper	calls	s0	1
DEL	75	75	0	606	1	0.1101	0.1984	0	svtyper	calls	s0	1
Total	75	75	0	1283	1	0.0552	0.1046	21.31	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	21.31	svtyper	calls	s0	1
DEL	75	75	0	606	1	0.1101	0.1984	21.31	svtyper	calls	s0	1
Total	72	72	0	1286	1	0.053	0.1007	31.46	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	31.46	svtyper	calls	s0	1
DEL	72	72	0	609	1	0.1057	0.1912	31.46	svtyper	calls	s0	1
Total	19	19	0	1339	1	0.014	0.0276	60.25	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	60.25	svtyper	calls	s0	1
DEL	19	19	0	662	1	0.0279	0.0543	60.25	svtyper	calls	s0	1
Total	8	8	0	1350	1	0.0059	0.0117	77.6860000000002	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	77.6860000000002	svtyper	calls	s0	1
DEL	8	8	0	673	1	0.0117	0.0231	77.6860000000002	svtyper	calls	s0	1
Total	1	1	0	1357	1	7e-04	0.0014	177.38	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	177.38	svtyper	calls	s0	1
DEL	1	1	0	680	1	0.0015	0.003	177.38	svtyper	calls	s0	1
Total	54	54	0	1304	1	0.0398	0.0766	0	delly	calls	s0	1
INS	11	11	0	666	1	0.0162	0.0319	0	delly	calls	s0	1
DEL	43	43	0	638	1	0.0631	0.1187	0	delly	calls	s0	1
Total	95	95	0	1263	1	0.07	0.1308	0	bayestyper	calls	s0	1
INS	95	95	0	582	1	0.1403	0.2461	0	bayestyper	calls	s0	1
DEL	0	0	0	681	NA	0	NA	0	bayestyper	calls	s0	1
Total	95	95	0	1263	1	0.07	0.1308	20.655	bayestyper	calls	s0	1
INS	95	95	0	582	1	0.1403	0.2461	20.655	bayestyper	calls	s0	1
DEL	0	0	0	681	NA	0	NA	20.655	bayestyper	calls	s0	1
Total	89	89	0	1269	1	0.0655	0.1229	99	bayestyper	calls	s0	1
INS	89	89	0	588	1	0.1315	0.2324	99	bayestyper	calls	s0	1
DEL	0	0	0	681	NA	0	NA	99	bayestyper	calls	s0	1
Total	544	544	0	814	1	0.4006	0.572	0	toilvg	truth	s0	1
INS	223	223	0	454	1	0.3294	0.4956	0	toilvg	truth	s0	1
DEL	321	321	0	360	1	0.4714	0.6408	0	toilvg	truth	s0	1
Total	544	544	0	814	1	0.4006	0.572	22	toilvg	truth	s0	1
INS	223	223	0	454	1	0.3294	0.4956	22	toilvg	truth	s0	1
DEL	321	321	0	360	1	0.4714	0.6408	22	toilvg	truth	s0	1
Total	508	508	0	850	1	0.3741	0.5445	33	toilvg	truth	s0	1
INS	218	218	0	459	1	0.322	0.4871	33	toilvg	truth	s0	1
DEL	290	290	0	391	1	0.4258	0.5973	33	toilvg	truth	s0	1
Total	482	482	0	876	1	0.3549	0.5239	34	toilvg	truth	s0	1
