GT	type	size	error	etype	correct.bkpt	sample
het	INS	241	6	location/seq	TRUE	s0
hom	INS	147	4	location/seq	FALSE	s0
hom	INS	63	7	location/seq	TRUE	s0
het	INS	69	9	location/seq	TRUE	s0
het	INS	324	6	location/seq	TRUE	s0
hom	INS	191	7	location/seq	TRUE	s0
het	INS	137	10	location/seq	TRUE	s0
het	INS	118	11	location/seq	TRUE	s0
het	INS	70	2	location/seq	TRUE	s0
het	INS	97	8	location/seq	TRUE	s0
hom	INS	61	6	location/seq	TRUE	s0
het	INS	63	9	location/seq	TRUE	s0
het	INS	87	10	location/seq	TRUE	s0
het	INS	183	10	location/seq	TRUE	s0
het	INS	106	7	location/seq	TRUE	s0
het	INS	79	9	location/seq	TRUE	s0
het	INS	71	3	location/seq	TRUE	s0
het	INS	5978	5	location/seq	TRUE	s0
het	INS	322	3	location/seq	TRUE	s0
het	INS	1938	5	location/seq	TRUE	s0
het	INS	51	1	location/seq	TRUE	s0
hom	INS	200	8	location/seq	TRUE	s0
het	INS	147	1	location/seq	TRUE	s0
het	INS	103	6	location/seq	TRUE	s0
het	INS	318	3	location/seq	TRUE	s0
het	INS	265	7	location/seq	TRUE	s0
het	INS	1474	2	location/seq	TRUE	s0
het	INS	191	12	location/seq	TRUE	s0
hom	INS	124	1	location/seq	TRUE	s0
het	INS	379	4	location/seq	TRUE	s0
het	INS	234	5	location/seq	TRUE	s0
het	INS	143	6	location/seq	TRUE	s0
hom	INS	60	2	location/seq	TRUE	s0
hom	INS	55	4	location/seq	TRUE	s0
hom	INS	74	5	location/seq	FALSE	s0
hom	INS	272	1	location/seq	TRUE	s0
het	INS	128	2	location/seq	TRUE	s0
het	INS	357	1	location/seq	TRUE	s0
het	INS	145	2	location/seq	TRUE	s0
het	INS	609	2	location/seq	TRUE	s0
hom	INS	308	7	location/seq	TRUE	s0
hom	INS	77	5	location/seq	TRUE	s0
het	INS	589	10	location/seq	TRUE	s0
het	INS	95	4	location/seq	TRUE	s0
hom	INS	63	11	location/seq	TRUE	s0
het	INS	376	3	location/seq	FALSE	s0
het	INS	135	3	location/seq	TRUE	s0
hom	INS	101	9	location/seq	TRUE	s0
hom	INS	191	11	location/seq	TRUE	s0
het	INS	91	5	location/seq	TRUE	s0
hom	INS	78	7	location/seq	TRUE	s0
hom	INS	301	4	location/seq	TRUE	s0
het	INS	147	12	location/seq	TRUE	s0
hom	INS	119	4	location/seq	TRUE	s0
het	INS	59	11	location/seq	TRUE	s0
hom	INS	65	5	location/seq	TRUE	s0
het	INS	59	7	location/seq	TRUE	s0
het	INS	176	6	location/seq	TRUE	s0
het	INS	604	6	location/seq	TRUE	s0
het	INS	82	5	location/seq	TRUE	s0
het	INS	108	4	location/seq	TRUE	s0
hom	INS	913	9	location/seq	TRUE	s0
het	INS	192	8	location/seq	TRUE	s0
het	INS	328	5	location/seq	FALSE	s0
het	INS	93	8	location/seq	TRUE	s0
hom	INS	3763	7	location/seq	TRUE	s0
het	INS	213	3	location/seq	TRUE	s0
het	INS	174	1	location/seq	TRUE	s0
hom	INS	68	8	location/seq	TRUE	s0
het	INS	207	9	location/seq	TRUE	s0
het	INS	60	3	location/seq	TRUE	s0
hom	INS	1265	7	location/seq	TRUE	s0
hom	INS	454	2	location/seq	TRUE	s0
het	INS	68	3	location/seq	TRUE	s0
het	INS	69	2	location/seq	TRUE	s0
het	INS	1361	8	location/seq	TRUE	s0
het	INS	109	7	location/seq	TRUE	s0
hom	INS	316	12	location/seq	TRUE	s0
het	INS	164	8	location/seq	TRUE	s0
het	INS	72	9	location/seq	FALSE	s0
hom	INS	66	8	location/seq	TRUE	s0
hom	INS	55	4	location/seq	TRUE	s0
hom	INS	1060	4	location/seq	TRUE	s0
hom	INS	583	11	location/seq	TRUE	s0
het	INS	330	8	location/seq	TRUE	s0
het	INS	1084	7	location/seq	TRUE	s0
het	INS	2861	1	location/seq	TRUE	s0
hom	INS	345	11	location/seq	TRUE	s0
hom	INS	169	3	location/seq	TRUE	s0
hom	INS	149	1	location/seq	TRUE	s0
het	INS	77	7	location/seq	TRUE	s0
het	INS	125	9	location/seq	TRUE	s0
hom	INS	1382	3	location/seq	TRUE	s0
hom	INS	325	11	location/seq	TRUE	s0
hom	INS	316	8	location/seq	TRUE	s0
hom	INS	121	2	location/seq	TRUE	s0
hom	INS	59	3	location/seq	TRUE	s0
het	INS	135	9	location/seq	TRUE	s0
het	INS	801	6	location/seq	TRUE	s0
hom	INS	1725	10	location/seq	TRUE	s0
hom	INS	93	8	location/seq	TRUE	s0
het	INS	111	9	location/seq	TRUE	s0
het	INS	78	11	location/seq	TRUE	s0
hom	INS	122	7	location/seq	TRUE	s0
het	INS	117	10	location/seq	TRUE	s0
het	INS	313	6	location/seq	TRUE	s0
hom	INS	71	6	location/seq	TRUE	s0
het	INS	313	4	location/seq	TRUE	s0
hom	INS	357	11	location/seq	TRUE	s0
hom	INS	118	7	location/seq	TRUE	s0
hom	INS	224	6	location/seq	TRUE	s0
het	INS	63	9	location/seq	TRUE	s0
het	INS	145	8	location/seq	TRUE	s0
het	INS	114	11	location/seq	TRUE	s0
het	INS	215	2	location/seq	TRUE	s0
hom	INS	255	11	location/seq	TRUE	s0
hom	INS	93	6	location/seq	TRUE	s0
het	INS	318	8	location/seq	TRUE	s0
hom	INS	146	7	location/seq	TRUE	s0
het	INS	321	8	location/seq	TRUE	s0
hom	INS	125	5	location/seq	FALSE	s0
hom	INS	91	2	location/seq	TRUE	s0
het	INS	156	4	location/seq	TRUE	s0
hom	INS	59	6	location/seq	TRUE	s0
hom	INS	66	2	location/seq	TRUE	s0
het	INS	251	12	location/seq	TRUE	s0
hom	INS	3033	10	location/seq	TRUE	s0
hom	INS	580	2	location/seq	TRUE	s0
hom	INS	1370	11	location/seq	TRUE	s0
hom	INS	412	2	location/seq	TRUE	s0
het	INS	300	3	location/seq	TRUE	s0
het	INS	215	8	location/seq	TRUE	s0
het	INS	72	9	location/seq	TRUE	s0
het	INS	160	5	location/seq	TRUE	s0
hom	INS	1115	10	location/seq	TRUE	s0
hom	INS	66	5	location/seq	TRUE	s0
hom	INS	622	3	location/seq	TRUE	s0
hom	INS	325	4	location/seq	TRUE	s0
hom	INS	103	9	location/seq	TRUE	s0
het	INS	235	12	location/seq	TRUE	s0
hom	INS	294	9	location/seq	TRUE	s0
het	INS	72	6	location/seq	TRUE	s0
het	INS	73	6	location/seq	TRUE	s0
hom	INS	52	10	location/seq	TRUE	s0
hom	INS	55	3	location/seq	FALSE	s0
het	INS	146	7	location/seq	TRUE	s0
hom	INS	79	6	location/seq	TRUE	s0
hom	INS	101	5	location/seq	TRUE	s0
hom	INS	103	2	location/seq	TRUE	s0
hom	INS	370	6	location/seq	TRUE	s0
het	INS	159	7	location/seq	TRUE	s0
het	INS	69	7	location/seq	TRUE	s0
het	INS	52	10	location/seq	TRUE	s0
hom	INS	88	11	location/seq	TRUE	s0
het	INS	273	8	location/seq	TRUE	s0
het	INS	78	9	location/seq	TRUE	s0
het	INS	54	6	location/seq	FALSE	s0
hom	INS	113	3	location/seq	TRUE	s0
het	INS	63	7	location/seq	TRUE	s0
hom	INS	99	3	location/seq	TRUE	s0
het	INS	309	11	location/seq	TRUE	s0
hom	INS	101	10	location/seq	TRUE	s0
het	INS	573	3	location/seq	TRUE	s0
het	INS	94	6	location/seq	TRUE	s0
hom	INS	146	5	location/seq	TRUE	s0
het	INS	68	3	location/seq	TRUE	s0
het	INS	319	3	location/seq	TRUE	s0
het	INS	149	3	location/seq	FALSE	s0
het	INS	208	6	location/seq	TRUE	s0
hom	INS	182	6	location/seq	TRUE	s0
hom	INS	674	7	location/seq	TRUE	s0
het	INS	331	12	location/seq	TRUE	s0
het	INS	237	11	location/seq	TRUE	s0
hom	INS	188	7	location/seq	TRUE	s0
hom	INS	55	7	location/seq	TRUE	s0
hom	INS	119	10	location/seq	TRUE	s0
hom	INS	323	5	location/seq	TRUE	s0
hom	INS	221	6	location/seq	TRUE	s0
het	INS	90	12	location/seq	FALSE	s0
het	INS	167	11	location/seq	TRUE	s0
hom	INS	3119	8	location/seq	TRUE	s0
hom	INS	730	7	location/seq	TRUE	s0
hom	INS	139	11	location/seq	TRUE	s0
hom	INS	88	4	location/seq	TRUE	s0
hom	INS	786	3	location/seq	TRUE	s0
het	INS	102	9	location/seq	TRUE	s0
het	INS	189	8	location/seq	TRUE	s0
het	INS	98	6	location/seq	TRUE	s0
het	INS	758	4	location/seq	TRUE	s0
het	INS	68	5	location/seq	TRUE	s0
het	INS	55	7	location/seq	TRUE	s0
hom	INS	72	9	location/seq	TRUE	s0
hom	INS	82	4	location/seq	TRUE	s0
hom	INS	358	7	location/seq	TRUE	s0
hom	INS	1919	8	location/seq	TRUE	s0
het	INS	133	5	location/seq	TRUE	s0
hom	INS	417	9	location/seq	TRUE	s0
